2025-02-28,Mouni,"If you just listened, we wouldn't be having this fight.",Emotional Abuse,Distressed,3,N
2025-03-14,Mouni,"If you leave, you'll regret it. No one else will want you.",Emotional Abuse,Distressed,4,N
2025-03-13,Sanya,"You've been quiet lately, want to talk?",Friendly,Neutral,1,N
2025-04-09,Mouni,"I'll make sure everyone knows what you really are.",Emotional Abuse,Distressed,3,N
2025-03-09,Sanya,Hey! Hope your week's been gentle. Let me know if you need anything ðŸ’›,Friendly,Neutral,1,N
2025-03-16,Mouni,I know what's best for you. You clearly can't handle life on your own.,Emotional Abuse,Distressed,3,N
2025-02-05,Shreya,I noticed you left your lights on last night. You should be more careful.,Stalking,Fearful,4,Y
2025-01-20,Shreya,I've been outside your place a few timesâ€¦ just to make sure you're okay.,Stalking,Fearful,5,Y
2025-01-16,Sanya,Just checking in. You doing okay?,Friendly,Neutral,1,N
2025-03-09,Sanya,Lunch next week? I'm free Tuesday!,Friendly,Neutral,1,N
2025-03-02,Shreya,Saw you at the coffee shop today. That green sweater looks good on you.,Stalking,Fearful,3,N
2025-01-01,Shreya,That guy you were talking toâ€¦ is he important to you?,Controlling,Distressed,3,N
2025-03-02,Sanya,Wanna do a movie night soon?,Friendly,Neutral,1,N
2025-04-06,Shreya,Why didn't you smile at me when I waved? Are you avoiding me?,Emotional Manipulation,Distressed,3,N
2025-03-17,Shreya,You really shouldn't walk home alone so late.,Controlling,Distressed,3,N
2025-03-13,Mouni,You're imagining things again. Why do you always make me the bad guy?,Gaslighting,Manipulated,3,N
2025-03-05,Mouni,You're lucky I even put up with you.,Emotional Abuse,Distressed,3,N
2025-02-14,Sanya,You're on my mind todayâ€”sending love!,Friendly,Neutral,1,N
2025-03-21,Mouni,"If you tell anyone about this, you'll regret it.",Emotional Abuse,Fearful,4,Y
2025-04-12,Shreya,I know your work schedule by heart now.,Stalking,Fearful,4,Y
2025-03-25,Sanya,Sending you good vibes for your presentation today!,Friendly,Neutral,1,N
2025-02-18,Mouni,Nobody understands you like I do.,Emotional Manipulation,Distressed,3,N
2025-04-15,Shreya,I followed you to make sure you got home safe.,Stalking,Fearful,4,Y
2025-03-28,Sanya,Want to grab coffee this weekend?,Friendly,Neutral,1,N
2025-02-22,Mouni,You're nothing without me.,Emotional Abuse,Distressed,3,N
2025-04-19,Shreya,I've memorized your daily routine.,Stalking,Fearful,4,Y
2025-03-30,Sanya,Here if you need someone to talk to!,Friendly,Neutral,1,N
2025-02-25,Mouni,Stop trying to make me look bad.,Gaslighting,Manipulated,3,N
2025-04-22,Shreya,I know which gym you go to now.,Stalking,Fearful,4,Y
2025-04-01,Sanya,Hope your day is going well!,Friendly,Neutral,1,N
2025-02-27,Mouni,You're being too sensitive again.,Gaslighting,Manipulated,3,N
2025-04-25,Shreya,I've been watching your apartment.,Stalking,Fearful,5,Y
2025-04-03,Sanya,Miss our chats! Let's catch up soon?,Friendly,Neutral,1,N
2025-03-01,Mouni,"Next time, I won't be so nice.",Emotional Abuse,Fearful,4,Y
2025-04-28,Shreya,I know all your friends' names now.,Stalking,Fearful,4,Y
2025-04-05,Sanya,Thinking of you during this tough time.,Friendly,Neutral,1,N
2025-03-03,Mouni,You made me do this to you.,Gaslighting,Manipulated,3,N
2025-05-01,Shreya,I've been taking pictures of you.,Stalking,Fearful,5,Y
2025-04-07,Sanya,Remember I'm always here for you!,Friendly,Neutral,1,N
2025-03-05,Mouni,This is all your fault.,Gaslighting,Manipulated,3,N
2025-05-04,Shreya,I know where your family lives.,Stalking,Fearful,4,Y
2025-04-09,Sanya,Let's plan something fun soon!,Friendly,Neutral,1,N
2025-03-07,Mouni,"Touch my stuff again, and you'll see what happens.",Emotional Abuse,Fearful,4,Y
2025-05-07,Shreya,I've been checking your social media every hour.,Stalking,Fearful,3,N
2025-04-11,Sanya,How about a movie marathon?,Friendly,Neutral,1,N
2025-03-09,Mouni,You're making me look crazy.,Gaslighting,Manipulated,3,N
2025-05-10,Shreya,Your new haircut suits you. Saw it yesterday.,Stalking,Fearful,3,N
2025-04-13,Sanya,Just wanted to check in on you.,Friendly,Neutral,1,N
2025-03-11,Mouni,"Cross me again, and you'll regret it.",Emotional Abuse,Fearful,4,Y
2025-05-13,Shreya,I know which coffee shop you visit every morning.,Stalking,Fearful,3,N
2025-04-15,Sanya,Here's that recipe you asked for!,Friendly,Neutral,1,N
2025-03-13,Mouni,You're turning everyone against me.,Gaslighting,Manipulated,3,N
2025-05-16,Shreya,Nice friends you were with last night.,Stalking,Fearful,3,N
2025-04-17,Sanya,Want to join our study group?,Friendly,Neutral,1,N
2025-03-15,Mouni,"Do that again, and I'll show you what real pain is.",Emotional Abuse,Fearful,5,Y
2025-05-19,Shreya,I've been keeping track of your schedule.,Stalking,Fearful,4,Y
2025-04-19,Sanya,Proud of your accomplishments!,Friendly,Neutral,1,N
2025-03-17,Mouni,You're making me do this.,Gaslighting,Manipulated,3,N
2025-05-22,Shreya,That new friend of yours seems interesting.,Controlling,Distressed,3,N
2025-04-21,Sanya,Let's celebrate your success!,Friendly,Neutral,1,N
2025-03-19,Mouni,Nobody will ever believe you.,Gaslighting,Manipulated,3,N
2025-05-25,Shreya,I've noticed you changed your routine.,Stalking,Fearful,3,N
2025-04-23,Sanya,Coffee and catch-up soon?,Friendly,Neutral,1,N
2025-03-21,Mouni,"Try to leave, and I'll find you.",Emotional Abuse,Fearful,5,Y
2025-05-28,Shreya,Who was that person you were talking to?,Controlling,Distressed,3,N
2025-04-25,Sanya,Here for you if you need to talk.,Friendly,Neutral,1,N
2025-03-23,Mouni,You're making me look bad on purpose.,Gaslighting,Manipulated,3,N
2025-05-31,Shreya,I've been noting down your visitors.,Stalking,Fearful,4,Y
2025-04-27,Sanya,Want to join our weekend plans?,Friendly,Neutral,1,N
2025-03-25,Mouni,"Keep pushing me, and see what happens.",Emotional Abuse,Fearful,4,Y
2025-06-03,Shreya,You shouldn't go out so late alone.,Controlling,Distressed,3,N
2025-04-29,Sanya,Missing our coffee chats!,Friendly,Neutral,1,N
2025-03-27,Mouni,You're just like all the others.,Emotional Abuse,Distressed,3,N
2025-06-06,Shreya,I know all about your new friend.,Controlling,Distressed,3,N
2025-05-01,Sanya,Let's plan a fun day out!,Friendly,Neutral,1,N
2025-03-29,Mouni,"One more word, and you'll regret it.",Emotional Abuse,Fearful,4,Y
2025-06-09,Shreya,I've been watching your place at night.,Stalking,Fearful,5,Y
2025-05-03,Sanya,How about lunch this week?,Friendly,Neutral,1,N
2025-03-31,Mouni,You're making me crazy on purpose.,Gaslighting,Manipulated,3,N
2025-06-12,Shreya,That outfit looked nice on you today.,Stalking,Fearful,3,N
2025-05-05,Sanya,Remember you're not alone!,Friendly,Neutral,1,N
2025-04-02,Mouni,"Push me again, and I'll show you.",Emotional Abuse,Fearful,4,Y
2025-06-15,Shreya,I saw you at the store yesterday.,Stalking,Fearful,3,N
2025-05-07,Sanya,Want to join our study session?,Friendly,Neutral,1,N
2025-04-04,Mouni,You're ruining everything as usual.,Emotional Abuse,Distressed,3,N
2025-06-18,Shreya,I know where you park your car.,Stalking,Fearful,4,Y
2025-05-09,Sanya,Here's that book you mentioned!,Friendly,Neutral,1,N
2025-04-06,Mouni,"Try to leave me, and you'll see what happens.",Emotional Abuse,Fearful,5,Y
2025-06-21,Shreya,I've been keeping notes about you.,Stalking,Fearful,4,Y
2025-05-11,Sanya,Let's grab dinner soon!,Friendly,Neutral,1,N
time_stamp,user_name,narrative_entry,incident_type,user_emotional_state,severity_score,potential_crime
